id,tstart,tstop,statefrom,stateto,obstype
1,0.0,6.0,1,1,1
2,0.0,0.9694062463368309,1,3,1
3,0.0,1.4060405319810843,1,2,1
3,1.4060405319810843,3.5285047316377547,2,3,1
4,0.0,3.0745950202842076,1,3,1
5,0.0,0.5812759584873454,1,3,1
6,0.0,2.491525343832851,1,3,1
7,0.0,0.5907601412159893,1,2,1
7,0.5907601412159893,3.700312937103833,2,3,1
8,0.0,6.0,1,1,1
9,0.0,4.562673189301333,1,2,1
9,4.562673189301333,5.803696083704015,2,3,1
10,0.0,3.425497099669491,1,3,1
11,0.0,0.6441511824332075,1,2,1
11,0.6441511824332075,1.2112238510958377,2,3,1
12,0.0,2.6175362533500772,1,2,1
12,2.6175362533500772,3.1588534646507065,2,3,1
13,0.0,0.20921581359973174,1,2,1
13,0.20921581359973174,3.437331789993756,2,3,1
14,0.0,2.915356853835251,1,2,1
14,2.915356853835251,4.4175663771720135,2,3,1
15,0.0,0.20349073554512587,1,2,1
15,0.20349073554512587,0.3672020795120754,2,3,1
16,0.0,3.713378580804621,1,2,1
16,3.713378580804621,4.583215720959743,2,3,1
17,0.0,0.09722362990809617,1,3,1
18,0.0,2.614688600538219,1,2,1
18,2.614688600538219,5.631335420937001,2,3,1
19,0.0,0.800088399078598,1,2,1
19,0.800088399078598,3.7593749312177267,2,3,1
20,0.0,1.6595482278974707,1,2,1
20,1.6595482278974707,6.0,2,2,1
21,0.0,0.4892601465808853,1,3,1
22,0.0,0.18554540488260501,1,3,1
23,0.0,3.233046422935881,1,2,1
23,3.233046422935881,4.241234365635031,2,3,1
24,0.0,0.3060484770634301,1,3,1
25,0.0,0.8685876331523782,1,2,1
25,0.8685876331523782,3.880147972070443,2,3,1
26,0.0,2.3189000733323595,1,2,1
26,2.3189000733323595,4.324384771003315,2,3,1
27,0.0,0.6042943606321403,1,2,1
27,0.6042943606321403,2.220281584806442,2,3,1
28,0.0,0.21518346244697603,1,3,1
29,0.0,5.707318307095379,1,2,1
29,5.707318307095379,6.0,2,2,1
30,0.0,4.60143952211787,1,3,1
31,0.0,6.0,1,1,1
32,0.0,1.1418153471128232,1,2,1
32,1.1418153471128232,1.4026986807771673,2,3,1
33,0.0,0.9744481511273299,1,2,1
33,0.9744481511273299,3.0859686139997127,2,3,1
34,0.0,3.631449063315516,1,2,1
34,3.631449063315516,4.046240938565844,2,3,1
35,0.0,0.38241664467385156,1,3,1
36,0.0,6.0,1,1,1
37,0.0,0.16038119532500972,1,3,1
38,0.0,0.6167002950570455,1,3,1
39,0.0,3.8789067586412007,1,2,1
39,3.8789067586412007,6.0,2,2,1
40,0.0,4.088708790636138,1,2,1
40,4.088708790636138,5.542858646374354,2,3,1
41,0.0,0.11375840537847909,1,2,1
41,0.11375840537847909,0.6892086157213448,2,3,1
42,0.0,3.861041327970099,1,2,1
42,3.861041327970099,4.425557390006471,2,3,1
43,0.0,2.193036964075625,1,2,1
43,2.193036964075625,3.246964071497046,2,3,1
44,0.0,0.4190552454248834,1,2,1
44,0.4190552454248834,2.4440102466223776,2,3,1
45,0.0,1.6082005408559885,1,2,1
45,1.6082005408559885,2.85401906138431,2,3,1
46,0.0,1.7019423868814736,1,2,1
46,1.7019423868814736,2.16264845077213,2,3,1
47,0.0,2.118070031735849,1,2,1
47,2.118070031735849,4.033276458535096,2,3,1
48,0.0,0.867480351875051,1,2,1
48,0.867480351875051,1.8710130720962552,2,3,1
49,0.0,1.147622200553051,1,2,1
49,1.147622200553051,2.8780176800441772,2,3,1
50,0.0,2.4433596527405017,1,2,1
50,2.4433596527405017,6.0,2,2,1
51,0.0,0.6072705157592112,1,2,1
51,0.6072705157592112,0.9221765727319419,2,3,1
52,0.0,0.9746948201281079,1,2,1
52,0.9746948201281079,1.2358496871160844,2,3,1
53,0.0,1.9896976442749954,1,2,1
53,1.9896976442749954,3.5975609001923083,2,3,1
54,0.0,4.0904836838924385,1,2,1
54,4.0904836838924385,5.324898137664233,2,3,1
55,0.0,6.0,1,1,1
56,0.0,3.0475286146783502,1,2,1
